行く,いく,iku,go,日曜日は図書館に行きます。,I go to the library on Sundays.
見る,みる,miru,"see, look at",私は絵を見るのが好きです。,I like looking at pictures.
多い,おおい,ooi,"a lot of, many",京都にはお寺が多い。,There are a lot of temples in Kyoto.
家,うち,uchi,"home, household",家に遊びにきてください。,Please come over to my home.
これ,これ,kore,"this, this one",これをください。,I'll have this please.
それ,それ,sore,"that, that one",それはとってもいい話だ。,That's a really nice story.
私,わたし,watashi,I (general),私が行きましょう。,I'll go.
仕事,しごと,shigoto,"work, job",３月は仕事が忙しい。,I'm busy at work in March.
いつ,いつ,itsu,when,彼女はいつ来ますか。,When is she coming?
する,する,suru,"do, make",友達と一緒に宿題をした。,I did my homework with my friend.
出る,でる,deru,"go out, leave",今朝は早く家を出ました。,I left the house early this morning.
使う,つかう,tsukau,"use, make use of",このパソコンを使ってください。,Please use this computer.
所,ところ,tokoro,place,私は友達の所に泊まった。,I stayed at my friend's place for the night.
作る,つくる,tsukuru,"make, create",今、朝ご飯を作っています。,I'm making breakfast now.
思う,おもう,omou,think,私もそう思います。,"I think so, too. "
持つ,もつ,motsu,"have, possess",私は車を持っています。,I have a car.
買う,かう,kau,buy,郵便局で切手を買いました。,I bought a stamp at the post office.
時間,じかん,jikan,"time, hour",今は時間がありません。,I don't have time now.
知る,しる,shiru,know,誰もその話を知らない。,No one knows that story.
同じ,おなじ,onaji,"same, identical",彼の日本語のレベルは私と同じくらいだ。,His Japanese level is about the same as mine.
今,いま,ima,now,彼は今、勉強しています。,He's studying now.
新しい,あたらしい,atarashii,new,彼の車は新しい。,His car is new.
なる,なる,naru,become,彼は医者になりました。,He became a doctor.
まだ,まだ,mada,"(not) yet, still",宿題はまだ終わっていません。,I haven't finished my homework yet.
あと,あと,ato,after,仕事のあと、映画を見た。,I saw a movie after work.
聞く,きく,kiku,"hear, ask",彼女はラジオを聞いています。,She's listening to the radio.
言う,いう,iu,"say, tell",上司が「一杯、飲もう」と言った。,"My boss said: ""Let's have a drink."""
少ない,すくない,sukunai,"few, little",今年は雨が少ないです。,There's not much rain this year.
高い,たかい,takai,"high, tall",これがこの町で一番高いビルです。,This is the tallest building in this town.
子供,こども,kodomo,child,電車で子供が騒いでいた。,Children were making a lot of noise in the train.
そう,そう,sou,"so, that way",私もそう思います。,That's what I think too.
もう,もう,mou,"already, yet",彼はもう帰りました。,He's already gone home.
学生,がくせい,gakusei,student,彼は真面目な学生です。,He's a serious student.
熱い,あつい,atsui,hot (to touch),このスープはとても熱い。,This soup is very hot.
どうぞ,どうぞ,douzo,please,こちらへどうぞ。,This way please.
午後,ごご,gogo,"afternoon, p.m.",明日の午後、お客様が来る。,A guest is coming to visit tomorrow afternoon.
長い,ながい,nagai,long,彼女の髪はとても長い。,Her hair is very long.
本,ほん,hon,"book, volume",本を１冊買いました。,I bought one book.
今年,ことし,kotoshi,this year (colloquial),今年はイタリアに旅行したい。,I want to travel to Italy this year.
よく,よく,yoku,"often, well",彼女はよく旅行に行きます。,She often goes on holiday.
彼女,かのじょ,kanojo,"she, one's girlfriend",彼女はＯＬです。,She's an office worker.
